playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,DB,TR,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
alfoned01,1997,1,NYN,NL,151,,518,84,163,0,0,10,72,11,6,63,56,0,5,8,5,4
alfoned01,1999,1,NYN,NL,158,,628,123,191,0,0,27,108,9,2,85,85,2,3,1,9,14
alfoned01,2000,1,NYN,NL,150,,544,109,176,0,0,25,94,3,2,95,70,1,5,0,6,12
alfoned01,2002,1,NYN,NL,135,,490,78,151,0,0,16,56,6,0,62,55,8,7,0,3,5
allendi01,1964,1,PHI,NL,162,,632,125,201,0,0,29,91,3,4,67,138,13,0,6,3,8
allendi01,1965,1,PHI,NL,161,,619,93,187,0,0,20,85,15,2,74,150,6,2,6,6,13
allendi01,1966,1,PHI,NL,141,,524,112,166,0,0,40,110,10,6,68,136,13,3,0,4,9
allendi01,1967,1,PHI,NL,122,,463,89,142,0,0,23,77,20,5,75,117,18,1,1,0,9
allendi01,1968,1,PHI,NL,152,,521,87,137,0,0,33,90,7,7,74,161,15,1,2,7,7
allendi01,1969,1,PHI,NL,118,,438,79,126,0,0,32,89,9,3,64,144,10,0,0,4,10
allendi01,1970,1,SLN,NL,122,,459,88,128,0,0,34,101,5,4,71,118,16,2,0,1,9
allendi01,1972,1,CHA,AL,148,,506,90,156,0,0,37,113,19,8,99,126,16,1,0,3,13
allendi01,1973,1,CHA,AL,72,,250,39,79,0,0,16,41,7,2,33,51,3,1,1,3,9
allendi01,1974,1,CHA,AL,128,,462,84,139,0,0,32,88,7,1,57,89,9,1,0,5,16
allenga01,1980,1,BOS,AL,36,,70,9,25,0,0,0,10,2,2,13,11,0,0,1,1,1
allenje01,1998,1,PIT,NL,69,,233,30,72,0,0,3,24,8,4,17,43,0,7,3,1,1
allisbo01,1961,1,MIN,AL,159,,556,83,136,0,0,29,105,2,7,103,100,1,5,5,8,17
allisbo01,1962,1,MIN,AL,149,,519,102,138,0,0,29,102,8,5,84,115,0,4,3,3,9
allisbo01,1963,1,MIN,AL,148,,527,99,143,0,0,35,91,6,1,90,109,2,3,1,5,7
allisbo01,1964,1,MIN,AL,149,,492,90,141,0,0,32,86,10,1,92,99,4,7,0,3,7
alomaro01,1989,1,SDN,NL,158,,623,82,184,0,0,7,56,42,17,53,76,4,1,17,8,10
alomaro01,1991,1,TOR,AL,161,,637,88,188,0,0,9,69,53,11,57,86,3,4,16,5,5
alomaro01,1992,1,TOR,AL,152,,571,105,177,0,0,8,76,49,9,87,52,5,5,6,2,8
alomaro01,1993,1,TOR,AL,153,,589,109,192,0,0,17,93,55,15,80,67,5,5,4,5,13
alomaro01,1994,1,TOR,AL,107,,392,78,120,0,0,8,38,19,8,51,41,2,2,7,3,14
