playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA
aguilri01,1993,1,MIN,AL,4,3,65,0,0,0,34,217,60,25,9,14,59,0.223,3.11
aguilri01,1995,1,MIN,AL,1,1,22,0,0,0,12,75,20,7,2,6,29,0.222,2.52
aguilri01,1995,2,BOS,AL,2,2,30,0,0,0,20,91,26,9,4,7,23,0.228,2.67
aguilri01,1998,1,MIN,AL,4,9,68,0,0,0,38,223,75,35,8,15,57,0.262,4.24
aguilri01,1999,1,MIN,AL,3,1,17,0,0,0,6,64,10,3,2,2,13,0.135,1.27
aguirha01,1960,1,DET,AL,5,3,37,6,1,0,10,284,75,30,7,30,80,0.21,2.85
aguirha01,1962,1,DET,AL,16,8,42,22,11,2,3,648,162,53,14,65,156,0.2,2.21
aguirha01,1967,1,DET,AL,0,1,31,1,0,0,0,124,34,11,2,17,33,0.21,2.4
aguirha01,1968,1,LAN,NL,1,2,25,0,0,0,3,118,32,3,0,13,25,0.22,0.69
aguirha01,1969,1,CHN,NL,1,0,41,0,0,0,1,135,45,13,2,12,19,0.26,2.6
ainswku01,2002,1,SFN,NL,1,2,6,4,0,0,0,77,22,6,1,12,15,0.237,2.1
akerja01,1966,1,OAK,AL,8,4,66,0,0,0,32,339,81,25,7,28,68,0.2,1.99
akerja01,1969,2,NYA,AL,8,4,38,0,0,0,11,197,51,15,4,22,40,0.21,2.06
akerja01,1970,1,NYA,AL,4,2,41,0,0,0,16,210,57,16,3,20,36,0.226,2.06
akerja01,1971,1,NYA,AL,4,4,41,0,0,0,4,167,48,16,3,26,24,0.238,2.59
akerja01,1972,2,CHN,NL,6,6,48,0,0,0,17,201,65,22,4,23,36,0.259,2.96
alberma01,2012,1,BOS,AL,2,0,40,0,0,0,0,118,30,10,6,15,25,0.216,2.29
alberma01,2012,2,ARI,NL,1,1,23,0,0,0,0,63,16,6,3,7,19,0.213,2.57
